station identifier,date,observation type,observation value,TMAX_F
ITE00100550,18640101,TMIN,-23,-9.399999999999999
ITE00100550,18640101,PRCP,25,77.0
ASN00079028,18640101,PRCP,0,32.0
USC00064757,18640101,PRCP,119,246.20000000000002
SF000208660,18640101,PRCP,0,32.0
ASN00089000,18640101,PRCP,0,32.0
SWE00100003,18640101,PRCP,0,32.0
ASN00086071,18640101,TMAX,214,417.2
ASN00086071,18640101,TMIN,101,213.8
ASN00086071,18640101,PRCP,0,32.0
USP00CA0003,18640101,PRCP,0,32.0
USC00189674,18640101,PRCP,0,32.0
USC00144559,18640101,PRCP,0,32.0
USC00144559,18640101,SNOW,0,32.0
CA006158350,18640101,TMAX,11,51.8
CA006158350,18640101,TMIN,-133,-207.4
CA006158350,18640101,PRCP,5,41.0
CA006158350,18640101,SNOW,5,41.0
HRE00105189,18640101,PRCP,189,372.2
ASN00067054,18640101,PRCP,61,141.8
ASN00081003,18640101,PRCP,0,32.0
ASN00078037,18640101,PRCP,0,32.0
ASN00070037,18640101,PRCP,0,32.0
EIE00101859,18640101,TMAX,94,201.20000000000002
EIE00101859,18640101,TMIN,11,51.8
EIE00101859,18640101,PRCP,82,179.6
ASN00040214,18640101,PRCP,3,37.4
BE000006447,18640101,TMAX,-23,-9.399999999999999
BE000006447,18640101,TMIN,-36,-32.8
AGE00135039,18640101,PRCP,0,32.0
USC00047738,18640101,PRCP,0,32.0
NLM00006235,18640101,PRCP,0,32.0
ASN00026020,18640101,PRCP,0,32.0
GME00125218,18640101,TMAX,-81,-113.80000000000001
GME00125218,18640101,TMIN,-100,-148.0
GME00125218,18640101,PRCP,0,32.0
GME00125218,18640101,SNWD,50,122.0
NLE00100499,18640101,PRCP,0,32.0
EZE00100082,18640101,TMAX,-92,-133.6
EZE00100082,18640101,TMIN,-133,-207.4
EZE00100082,18640101,PRCP,0,32.0
ITE00100554,18640101,TMAX,17,62.6
ITE00100554,18640101,TMIN,-6,21.2
ITE00100554,18640101,PRCP,91,195.8
